run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,0.0,0.0,1,0.0,-0.0,25.0,0.0,0.0,-0.0,ACCEL
W6_vector_01,0.20032051282051283,0.012038492357001974,1,0.1201923076923077,0.6,25.0,13341.780581363615,0.0007423978688881998,-0.0,ACCEL
W6_vector_01,0.40064102564102566,0.0481539694280079,1,0.2403846153846154,0.6,25.0,26684.43418493258,0.0022272421856245656,-0.0,ACCEL
W6_vector_01,0.6009615384615385,0.10834643121301778,1,0.36057692307692313,0.6,25.0,40027.96706146254,0.004454581876989781,-0.0,ACCEL
W6_vector_01,0.8012820512820513,0.1926158777120316,1,0.4807692307692308,0.6,25.0,53372.38546170915,0.007424466217585242,-0.0,ACCEL
W6_vector_01,1.001602564102564,0.3009623089250493,1,0.6009615384615384,0.6,25.0,66717.69563642803,0.011136944829833063,-0.0,ACCEL
W6_vector_01,1.201923076923077,0.4333857248520711,1,0.7211538461538463,0.6000000000000001,25.0,80063.90383637491,0.015592067683976078,-0.0,ACCEL
W6_vector_01,1.4022435897435899,0.5898861254930967,1,0.8413461538461539,0.5999999999999996,25.0,93411.01631230526,0.02078988509807782,-0.0,ACCEL
W6_vector_01,1.6025641025641026,0.7704635108481264,1,0.9615384615384616,0.6000000000000002,25.0,106759.039314975,0.026730447738022568,-0.0,ACCEL
W6_vector_01,1.8028846153846154,0.9751178809171598,1,1.0817307692307692,0.5999999999999996,25.0,120107.97909513942,0.03341380661751528,-0.0,ACCEL
W6_vector_01,2.003205128205128,1.2038492357001973,1,1.2019230769230769,0.6000000000000002,25.0,133457.8419035546,0.040840013098081655,-0.0,ACCEL
W6_vector_01,2.203525641025641,1.4566575751972386,1,1.3221153846153846,0.6000000000000002,25.0,146808.63399097582,0.049009118889068115,-0.0,ACCEL
W6_vector_01,2.403846153846154,1.7335428994082844,1,1.4423076923076925,0.6,25.0,160160.36160815886,0.057921176047641784,-0.0,ACCEL
W6_vector_01,2.604166666666667,2.034505208333334,1,1.5625000000000002,0.6000000000000002,25.0,173513.03100585943,0.06757623697879048,-0.0,ACCEL
